image_path,class_id,class_name
raw\images\patches\Pa_202.bmp,2,斑块
raw\images\inclusion\In_103.bmp,1,夹杂
raw\images\pitted_surface\PS_221.bmp,3,麻点
raw\images\scratches\Sc_207.bmp,5,划痕
raw\images\scratches\Sc_19.bmp,5,划痕
raw\images\crazing\Cr_298.bmp,0,裂纹
raw\images\rolled-in_scale\RS_114.bmp,4,氧化铁皮
raw\images\scratches\Sc_166.bmp,5,划痕
raw\images\inclusion\In_38.bmp,1,夹杂
raw\images\scratches\Sc_281.bmp,5,划痕
raw\images\rolled-in_scale\RS_175.bmp,4,氧化铁皮
raw\images\crazing\Cr_297.bmp,0,裂纹
raw\images\crazing\Cr_56.bmp,0,裂纹
raw\images\rolled-in_scale\RS_149.bmp,4,氧化铁皮
raw\images\pitted_surface\PS_185.bmp,3,麻点
raw\images\crazing\Cr_233.bmp,0,裂纹
raw\images\inclusion\In_87.bmp,1,夹杂
raw\images\crazing\Cr_195.bmp,0,裂纹
raw\images\scratches\Sc_190.bmp,5,划痕
raw\images\pitted_surface\PS_227.bmp,3,麻点
raw\images\scratches\Sc_284.bmp,5,划痕
raw\images\pitted_surface\PS_62.bmp,3,麻点
raw\images\inclusion\In_95.bmp,1,夹杂
raw\images\pitted_surface\PS_78.bmp,3,麻点
raw\images\scratches\Sc_30.bmp,5,划痕
raw\images\inclusion\In_23.bmp,1,夹杂
raw\images\pitted_surface\PS_226.bmp,3,麻点
raw\images\crazing\Cr_176.bmp,0,裂纹
raw\images\rolled-in_scale\RS_286.bmp,4,氧化铁皮
raw\images\inclusion\In_41.bmp,1,夹杂
raw\images\crazing\Cr_12.bmp,0,裂纹
raw\images\pitted_surface\PS_64.bmp,3,麻点
raw\images\inclusion\In_181.bmp,1,夹杂
raw\images\pitted_surface\PS_242.bmp,3,麻点
raw\images\pitted_surface\PS_157.bmp,3,麻点
raw\images\scratches\Sc_175.bmp,5,划痕
raw\images\scratches\Sc_173.bmp,5,划痕
raw\images\scratches\Sc_230.bmp,5,划痕
raw\images\pitted_surface\PS_190.bmp,3,麻点
raw\images\inclusion\In_167.bmp,1,夹杂
raw\images\rolled-in_scale\RS_66.bmp,4,氧化铁皮
raw\images\inclusion\In_194.bmp,1,夹杂
raw\images\scratches\Sc_129.bmp,5,划痕
raw\images\rolled-in_scale\RS_236.bmp,4,氧化铁皮
raw\images\inclusion\In_141.bmp,1,夹杂
raw\images\pitted_surface\PS_30.bmp,3,麻点
raw\images\patches\Pa_160.bmp,2,斑块
raw\images\rolled-in_scale\RS_128.bmp,4,氧化铁皮
raw\images\inclusion\In_190.bmp,1,夹杂
raw\images\crazing\Cr_118.bmp,0,裂纹
raw\images\scratches\Sc_177.bmp,5,划痕
raw\images\patches\Pa_112.bmp,2,斑块
raw\images\crazing\Cr_179.bmp,0,裂纹
raw\images\inclusion\In_162.bmp,1,夹杂
raw\images\pitted_surface\PS_15.bmp,3,麻点
raw\images\scratches\Sc_295.bmp,5,划痕
raw\images\scratches\Sc_253.bmp,5,划痕
raw\images\patches\Pa_146.bmp,2,斑块
raw\images\pitted_surface\PS_246.bmp,3,麻点
raw\images\pitted_surface\PS_101.bmp,3,麻点
raw\images\rolled-in_scale\RS_278.bmp,4,氧化铁皮
raw\images\scratches\Sc_199.bmp,5,划痕
raw\images\patches\Pa_120.bmp,2,斑块
raw\images\crazing\Cr_70.bmp,0,裂纹
raw\images\crazing\Cr_186.bmp,0,裂纹
raw\images\scratches\Sc_232.bmp,5,划痕
